word,count,sqrt_count,tf_score,char_freq_score
scout,472,21.72556098240043,2.472371299051289,59.661894362209814
clerk,80,8.94427190999916,1.0178591558168029,58.1978484186686
picky,23,4.795831523312719,0.5457661702235923,38.55051362937798
filed,582,24.124676163629637,2.745390878246245,66.1732589177384
quash,15,3.872983346207417,0.44074594320596727,58.173582463803264
remit,10,3.1622776601683795,0.35986755568543805,72.97581493165089
nasty,167,12.922847983320086,1.4706215633209987,61.45757502224379
chair,394,19.849433241279208,2.2588677497408884,66.67475531828843
sadly,178,13.341664064126334,1.5182828807251998,60.00161773032435
carat,44,6.6332495807108,0.7548645531445043,26.417536196716007
memos,19,4.358898943540674,0.4960431931863621,62.64660681064466
shred,32,5.656854249492381,0.6437506539274643,66.3350319501739
quest,238,15.427248620541512,1.755622639325798,65.48572352988757
blind,381,19.519221295943137,2.221289592982858,45.16703065598964
shove,28,5.291502622129181,0.602173597377063,69.35209900509584
plant,2108,45.91296113299599,5.2249001741143815,55.63374585456603
plead,45,6.708203932499369,0.7633943668626022,75.50756288926634
react,96,9.797958971132712,1.1150088400080573,80.92695947585537
sheer,131,11.445523142259598,1.3025018291805408,32.532556822777636
pupil,29,5.385164807134504,0.6128323646328858,40.17633260535469
curly,68,8.246211251235321,0.9384197738315623,42.675725956483056
spike,208,14.422205101855956,1.641248573132128,71.77869449162824
slave,457,21.37755832643195,2.432768557409447,80.25560139124806
rocky,468,21.633307652783937,2.4618728596981923,43.71916201569198
bytes,205,14.317821063276353,1.6293696577258774,61.538461538461526
shift,1570,39.6232255123179,4.509127548506125,49.761384777157645
gauss,55,7.416198487095663,0.8439642273180571,44.560381784356544
minus,286,16.911534525287763,1.9245345433016625,58.23020302515569
sinks,13,3.605551275463989,0.410312143283032,32.233276712771975
layer,315,17.74823934929885,2.019751646986053,79.93205532637708
prism,56,7.483314773547883,0.851602068313638,54.44471406616516
pains,47,6.855654600401044,0.7801742695606897,72.15886111785163
drain,61,7.810249675906654,0.8888072972099026,69.91830461862007
proxy,50198,224.04910176119876,25.496813141964083,40.48370136698211
moths,12,3.4641016151377544,0.3942151559263218,51.00703712691093
ghoul,8,2.8284271247461903,0.32187532696373217,48.05467928496319
climb,319,17.86057109949175,2.0325350128735487,41.72935371673542
flips,12,3.4641016151377544,0.3942151559263218,49.84227129337539
fears,193,13.892443989449804,1.5809616985732857,83.87931731780311
quake,453,21.283796653792763,2.422098468449628,71.98899943379438
bombs,633,25.15949125081825,2.863152952305596,37.782091725309385
lifts,40,6.324555320336759,0.7197351113708761,53.12626385181589
shard,23,4.795831523312719,0.5457661702235923,62.6627841138882
storm,11060,105.16653460107925,11.967963542070267,57.13014640459435
terra,375,19.364916731037084,2.2037297160298364,64.79818814203671
